Family,Chip Type,Soviet Manufacturer,Soviet Part Number,Western Manufacturer,Western Part Number,Blank,Blank,Description,Comments,Blank,Blank,Reference 1,Reference 2,Reference 3,Reference 4
,,,,,,,,,,,,,,,
15xx Series:,,Integral,К1500ИП181,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
15xx Series:,,NZPP,ОСМ1526ИП3,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
15xx Series:,,NZPP,1526ИП3,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
15xx Series:,,Integral,КР1533ИП3,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
145 Series:,,Svetlana,К145ИА1,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
145 Series:,,Deviz,КР145ИП7,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
145 Series:,,ElectronPribor,К145ИП11,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
145 Series:,,Eldag,К145ИП11А,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
145 Series:,,Eldag ,К145ИП11А,,,,,, Diff Print,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
145 Series:,,Angstrem,К145ИП15,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
145 Series:,,Eldag ,К145ИП15А,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
145 Series:,,Deviz,КР145ИП16Б,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
145 Series:,,Kvantor,КР145ИК1807,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
145 Series:,,Svetlana,К145ИК6,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
580 Series CPU:,,Kvazar,К580ИК80,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
580 Series CPU:,,Electronpribor,КР580ИК80А,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
580 Series CPU:,,Kvazar,КР580ИК80А,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
580 Series CPU:,,,КР580ИК80А,,,,, 'Made in USSR' ('Сделано в СССР'),,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
580 Series CPU:,,Kvazar,580ВМ80,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
580 Series CPU:,,Dnepr,КР580ВМ80А,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
580 Series CPU:,,Kvantor,КР580ВМ80А,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
580 Series CPU:,,Rodon,КР580ВМ80А,,,,, Black,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
580 Series CPU:,,Rodon,КР580ВМ80А,,,,, Brown,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
580 Series CPU:,,,КР580ВМ80А,,,,, 'Made in USSR' ('Сделано в СССР'),,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
581 Series Microprocessor Set:,,Deviz,КР581ИК1,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
581 Series Microprocessor Set:,,Electronica,КР581ИК1,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
581 Series Microprocessor Set:,,Electronica,КР581ИК1,,,,, Mod.2,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
581 Series Microprocessor Set:,,Electronica,К581ИК2А,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
581 Series Microprocessor Set:,,Electronica,КР581ИК2,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
581 Series Microprocessor Set:,,Deviz,КР581РУ1,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
581 Series Microprocessor Set:,,Deviz,КР581РУ2,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
581 Series Microprocessor Set:,,Electronica,КР581РУ3,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
582 Series Microprocessor Set:,,Electronica,582ИК1,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
583 Series Microprocessor Set:,,Integral,К583ВС1Б,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
583 Series Microprocessor Set:,,Integral,К583ВМ1А,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
583 Series Microprocessor Set:,,Integral,583ВМ1Б,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
583 Series Microprocessor Set:,,Integral,583ИК1А,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
583 Series Microprocessor Set:,,Integral,К583ИК1Б,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
583 Series Microprocessor Set:,,Integral,583КП1Б,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
584 Series Microprocessor Set:,,Integral,К584ВМ1,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
586 Series Microprocessor Set:,,Svetlana,К586ВМ1,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
587 Series Microprocessor Set:,,Angstrem,КР587ИК1,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
587 Series Microprocessor Set:,,Angstrem,587ИК2,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
587 Series Microprocessor Set:,,Angstrem,587ИК3,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
587 Series Microprocessor Set:,,Angstrem,КР587ИК3,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
588 Series Microprocessor Set:,,Transistor,К588ИК2,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
588 Series Microprocessor Set:,,Transistor,КР588ВС1В,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
