Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
Renesas,RX220,R5F52205BDFL ,,,,,MCU
Renesas,RX220,R5F52205BDFM ,,,,,MCU
Renesas,RX220,R5F52205BDFP ,,,,,MCU
Renesas,RX220,R5F52206BDFL ,,,,,MCU
Renesas,RX220,R5F52206BDFM ,,,,,MCU
Renesas,RX220,R5F52206BDFP ,,,,,MCU
Renesas,RX21A,R5F521A6BDFM ,,,,,MCU
Renesas,RX21A,R5F521A6BDFN ,,,,,MCU
Renesas,RX21A,R5F521A6BDFP ,,,,,MCU
Renesas,RX21A,R5F521A7BDFM ,,,,,MCU
Renesas,RX21A,R5F521A7BDFN ,,,,,MCU
Renesas,RX21A,R5F521A7BDFP ,,,,,MCU
Renesas,RX21A,R5F521A8BDFM ,,,,,MCU
Renesas,RX21A,R5F521A8BDFN ,,,,,MCU
Renesas,RX21A,R5F521A8BDFP ,,,,,MCU
